prompt,completion
Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road., It was an unknown quantity but it left a deep impression on my body END LAWYER
No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.,"

###

 He really really really really really really really really really really really&&&"
Why did you feel guilty? People really shouldn't drive drunk.,"

###

 -> Because I was worried about being voted out on the complex.&&"
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together","

#29 Past and future roles in your life? -> Oh&&&&&"
sorry to hear! do you have any idea about the break up? did you think about it ?," ->  ->nt completely new, he hadthouse discontinued the relationship, but i think it"
"Yes we decided together with our minds, and know i come home and feel so distant from the world"," around me - that it's worth it just to go home and see my family.

"
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying",. Had to put her up on my On Ballells to get healthy. -> -> That
Jeez! Its so unfortunate... very sad really. ,"  Never heard of him.

- What is your name? 

###"
Which one?,"

###

 I've never been there, I've never heard of it&&&"
Thats not good. Do you own a gun?,"

###

 -> Yes, and I plan on taking it to the police&&&"
i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years,.  -> -> You must be excited Peace! Where do you go? 我
Thats horrible.," I hope you find better/?

###

 -> Well I will for now but I"
Yes I do not like walmart.," It is an overcrowded,Malaysia atmosphere.  -> 

###

"
my baby is sleeping. it's so peaceful and quiet in this house, that it's unlike anything I've ever done before. I could watch television or play games
"hi, i feel so lonely sometimes because all my friends live in a different country",", have no links to each other, and are totally their own individual objects of desire."
"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?", Go out and see how far you have progressed.  -> Basically make your own time.
oh man. i'm all about discipline! I don't like spoiled bratty kids,", but I was ready for anorexial proportions!! Not only did I slam the"
"Me either! I have two of my own children, and I would have never let them get away with that kind of behavior when they were his age. I just don't understand those kind of parents@!"," They are supposed to be a blessing to us, yet we all know fulltun&&&"
ok,atc https:// thenextworld.biz/2016/10/28/spotless
That is a very blessed day. It is something you will never forget.,"  And at the same time, it will pollution your bottom chin - so don't take"
"Obviously there are the demands of a new child -- but that feeling of finally meeting someone you waited so long for, and the love surrounding the whole situation. Truly something to remember.","


***

 -> I am so happy that you had such wonderful arrived. You deserve"
"I'm a big believer in listening to your gut. Sometimes I might wonder where my intuition is leading me, but it always seems to be spot on."," -> -> Again, a very key feature of good leadership is a attune to it developing"
"I agree, someimes we just know"," things because we experience it, but not here at mo.

###

 It's"
"It is a ""knowing"" -- and a flowing! When something is right, it just feels easier to go with it -- like you're being led, even if you might not fully know to where.","
&&&&&&&&&&&&&&&&&&"
I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely, but I keep at them factionresses and make them proud. -> -> That's cool -
"Awww, That sucks man. Hopefully they don't say mean things to you about being lonely."," They could just be crazy.

→ Maybe you can come visit them? I know"
Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes,".

cause they can legit see that it hurts innocent -> It's okay, it"
"I understand that one,they are my favorite place to eat",", inspire all kinds of shapes and sizes, and make me pretty much redundant / happy ->"
Mine too. So I drive there and pull in the parking lot and it's completely empty. I then realized it was Sunday.," So Iscillating planets and stars at that age!

###

 -> That's"
"Well, like a lot of 6th graders I was aware of *not* wanting to be an outcast for any reason. And unfortunately, she was. As an adult of course, my heart squeezes for *all* the kids we were!", Was she an officially Walton living? Hahahah! SUW! You're one of
I feel the same way.," It's going to be a great one! -> 

###

 -> I've"
"How do you channel the anger? Obviously, it too easily turns into the same kind of negative emotion I'm upset about -- so that can feel hypocritical!"," I mean, it's certainly possible it can become oversaturated with the kinds of kinds of"
I practice boxing. I love to punch the sandbags.It is very therapeutic.,"

###

  -> Nice, I love Sanders. He&&&&&&"
"It would be great if there was a way we could all tell the best way to reach someone -- I know some people prefer texts to emails -- but if you're in a work situation, how do you ensure communication?","

###

 A lot of people think just put so much work and&&&&"
I'm not so sure. We just had a discussion that heated and became an argument with tempers flying.," Miracles occur in these situations.

###

 -> I agree, it's the"
"I felt most lonely when we first moved overseas, my husband then had to travel out of *that* country for business -- AND I had a new baby!", I could have stayed with him and seen him until everything was ready -- but I decided to
Congratulations! Where did you travel from and where did you end up?," -> -> To South East Asia! And I'm going to Man Ray in Rud Nam,"
From Santa Fe to Hong Kong -- ultimately a fantastic adventure. And I ended up with a wonderful group of friends. Expats bond quickly!, PAN Asia -- another great place on my East Asia so Dudley travelled to! No original story
"That's perfectly natural. You sound like the kind of person, though, that quickly regained their bearings. Disappointments like that usually come with some *good* lessons.",**&&&&&&&&&&&&&&&&&&
Yeah thats a good question.  I totally deserved him being mad.  I just felt bad for him b/c he was so busy that day and I didn't want him to have one more thing on his plate I guess, ENDED ENDED END&&&&&&&&&&&&&&
What is a back neighbor? And that is crazy!," ->  -> You and I were together for a while, longed to come to each"
"Yes, she lived several house back and she didn't know me, until after she did that! She knew me then, but after I talked to her, she apologized to both of us. "," She was so sorry.  She is a good person. 

###

 ->"
I really try but it's hard to replicate that day for sure.,"

###

 It was an amazing possession. -> What&&&&&&&"
"My husband and I both work for ourselves -- a blessing and a curse at times, since it can be tough to determine a ""regular"" income.","

###

 However, we both struggle financially and keep our&&&&&&"
I bet it's tough. A regular income is nice but the freedom you get from working for yourselfs is better. ,"

###

 -> it is, but at times its tough. the money just&&"
"We found a pretty good balance in that I have a part-time job that I *love* -- and that comes with benefits like insurance. That's a big worry addressed, right there."," -> -> Ah, that's a good internal duel — good on both sides. END OF"
"I met up with an old flame recently, didn't go how I expected", and she accepted my invitation. I was thrilled! -> -> That's great! Have you
"Well, right after she gave me a big hug, she introduced me to her new boyfriend."," I thought he was really really really really really really really really really really really spring 22
"
Woah plot twist. She brought him along to meet you? ,"

###

 === -> Yeah! He had some attention passing between him and&&&"
I was supposed to go for brunch with my friend Maria the other day. At least that was the plan.,"

###

 Maria had to influence me to go to a specific place & eat&&"
Well I knew he was following us and so I asked the manager to walk us out to the car and when he did we saw the guy come out again from between the two buildings b/c he was waiting on us.  so scary!, ->  -> That is awesome that you were able to see your client! I hope you
Did I tell you what happened with Li the other night? Boy do I feel dumb.," -> -> No, you Passed Me a very large Informant and i am going to Pub"
Did I tell you what happened with the concert I was supposed to go to Saturday?,"

###

 -> No, you waited until Monday to go there so you&&&"
"No, what happened?"," I felt that she was deceiving me. -> 

###

 -> she said"
Oh what job was the interview for?,"

###

 -> It was for a job in financial services

&&&&"
This advertising company! The owner was there - you should have seen his face. My last freelance project was a real winner. Think I got it?, -> -> My last one was also a real coup for me.  I have always been
oh my  are you really serious?," I don't think any of us can actually do that.

###

 -> We"
"As a heart attack. It was me and Big C at the World's Largest Pistachio. All of the sudden we hear gunshots, and DiDi's still in the car. We ran in the building, and he comes flying in after us. He never pointed the gun at us, and we ended up running away when he was distracted. It's too crazy - I can't make this up. Just glad to be alive!", -> -> That is really really really really awesome! You are a realives father! Deal
"Oh no, what did you do?","

###

 -> I played for a little over an hour!  I had&&"
"I quietly pushed him away, as I didn't want my friend to hear. I was so shocked and upset, since he knew I wouldn't want to make a scene and took advantage."," Not long after, my friend noticed him and gave him the greatest ofdis approuim"
