prompt,completion
Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.,"  I was so salty and put up with their Sob

###

 )  ->"
Did you suffer any injuries?,"

###

 

###

 I hope your parent's were pleased with you"
No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault., He had saved the day and it made me feel more assured of my bodyguardgoogle.
"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?","

###

 

###

 

###

 -> i am all"
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together","

###

 .  I still vividly associate that moment with him returning my call."
"Yes we decided together with our minds, and know i come home and feel so distant from the world",", from all the worlds that surround me.  I could watch the sky on Kyria"
I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors," were stuck with the full strain of baby unit. So thanks to thenes, they were"
Jeez! Its so unfortunate... very sad really. ," Never would have met him, never would have met all of your music.  Never would"
so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up," 

###

 

###

 -> . as you knew it would be"
i was singing nursery songs :), she did justice to them.  I was so thankful that she cared for them. 
i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods! ,"

###

 -> 

###

 -> ->that is very solidarity - ten"
Thats not good. Do you own a gun?," 

###

 

###

 -> 

###

 -> Yes"
I do! I want to be able to protect my son," with money, especially when he goes to a money-laundering activities online.

"
i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years," - it's going to be a biginvestment for me. ->  -> 
"
3 years is a long time. How come?,"

###

 

###

 -> I want to get iturg, op"
Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures., It's like SG-urbed - but with a double as big as SG- passage full
Yes. I do not have a Facebook.,"

02 Single sir.

###

 I have a lovely boyfriend who through years"
"So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer","!

###

 -> 

###

 -> -> restraint, thueu"
Thats horrible.," I hope you change soon

###

 .

###

 

###"
"Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!"," -> 

###

 

###

 -> 

###

 ->"
Yes I do not like walmart.," It is a very large, possibly Because of its inside.If I go in, I"
"hi, i feel so lonely sometimes because all my friends live in a different country",", where they send their bigarioticaka in their footsteps. I love that style of"
"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?",")

###

 Make new supporters - like what you do here? -> 
"
i was thinking about it! I wanted to join a group for local moms,—they're the best! Or pop up a book while you're stirring the crary
"I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.","  ->  ->  -> That is so sweet of him, I try to do the"
I'm so scared of bugs! i found one in my hair yesterday and almost died, twice before!  always give your hair a trial period before you start reading it. 
ok,"us, sondas - sondas!) 

###

 son tant"
"I recently spoke with my ex-girlfriend on the phone. The conversation went pretty well, and it reminded me of my past experiences with her.","

###

 

###

 I felt very proud of myself.

"
Did things end amicably? I hope everything is good now!,"

###

 

###

 -> 

###

 -> I think"
One of the times I remember feeling the most blissed out in life was right after the birth of my first child.,"

###

 

###

 It seems like it was a long time I"
That is a very blessed day. It is something you will never forget.,"

###

 

###

 

###

 Got any inspiring ladies"
I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely," in a very bid but I take it Bangalore laws around town book club

--- "
Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes,".

###

 

###

 

-> 

->"
The other day I had a deep craving for Chik-Fil-A.," I right off the bat, I whistled it up with a silver att‚"
"I understand that one,they are my favorite place to eat","

###

 

###

 , so much so much so much that I"
Where you not secure in your self?,"

###

 

###

 

###

 Gone Bo Sharma Lennon"
"You can track her down to say sorry, or would that be creepy?","

###

 

###

 

###

 -> I think it"
"Unfortunately, she died. I only found out when Facebook first came out, and her brother and I ""friended"" one another."," I was stunned.

###

 

###

 -> 

###"
I'm always appalled when I see bullying in action -- whether it's on a playground or political stage -- not much makes me angrier.,  “
I feel the same way.," I hope it's a place where everyone meets every week.

###

 
"
"How do you channel the anger? Obviously, it too easily turns into the same kind of negative emotion I'm upset about -- so that can feel hypocritical!","

###

 

###

 

###

 -> I think the"
I practice boxing. I love to punch the sandbags.It is very therapeutic.," 

###

 

###

 -> 

###

 ->good"
One morning my mother came to my house to pick my daughter up for school and told me she saw my daughter's cat on the road and he had been hit. I had to tell my daughter about the loss of her beloved pet.," 

###

  -> 

###

 -> It was hard for her"
Oh no that is terrible!  How did your daughter take it?,  She met her new partner on the 17th and was delighted on the 28th!
"She was around 11, so she took it very hard. I went ahead and let her stay home from school, as I knew she wouldn't do well that day."," I+=0036, sheamed out at me. I freesen"
We spoke about our recent lives. Apparently he is in the market for a new car.," He has been very sector as a result.

###

 

###

"
I find it odd -- and annoying -- when people don't respond to or even acknowledge emails.,"

###

 

###

 It's like leading a pl Flames of eternity"
"Well, sometimes people are busy and don't have the time to check emails"," and talk to one another.

###

 It's so fantastic!



"
I recently had a big argument with my sister. We both got very upset and angry at each other.,"

###

 I saw this film thinking about it. I knew this movie would hit"
From Santa Fe to Hong Kong -- ultimately a fantastic adventure. And I ended up with a wonderful group of friends. Expats bond quickly!,"

###

 

###

  -> 

###

 -> That"
One of the saddest things to me is when people underestimate what they can do and/or are capable of.,  I hope this movie hit thensics Towncock ashes its thankless existenceX30
"I know, that actually happens to me sometimes! Last year I didn't get accepted into this fellowship and for a couple of weeks I was underestimating myself a lot.","

###

 

###

 I find that it is very Ince$$"
"That's perfectly natural. You sound like the kind of person, though, that quickly regained their bearings. Disappointments like that usually come with some *good* lessons."," *

###

 *

###

 

###

 > Months separates"
Yeah thats a good question.  I totally deserved him being mad.  I just felt bad for him b/c he was so busy that day and I didn't want him to have one more thing on his plate I guess,.  I made sure I had the last piece ready for him ENDED once and for
"There was a back neighbor that called my 10 year old son a ugly name one time, simply because he entered her yard slightly when he rode around the corner.!"," -> 

###

 -> 

###

 -> -> 10 years is really"
"Yes, she lived several house back and she didn't know me, until after she did that! She knew me then, but after I talked to her, she apologized to both of us. "," She was so sorry.  She is a great person. 

###

 Fuck"
I have a hard time having confidence in myself but when I got married and I had my hair and makeup done I felt like I was beautiful!  I had so much confidence in myself that day and it was great!, -> -> ->ength is the most importantippage in the entire world!  Mao!
I really try but it's hard to replicate that day for sure.," 

###

 

###

 

###

 -> indicted by"
"My husband and I both work for ourselves -- a blessing and a curse at times, since it can be tough to determine a ""regular"" income."," 

###

 

###

 

###

 -> Smartly"
I bet it's tough. A regular income is nice but the freedom you get from working for yourselfs is better. ,"

###

 

###

 

###

 -> it is,"
"We found a pretty good balance in that I have a part-time job that I *love* -- and that comes with benefits like insurance. That's a big worry addressed, right there.","

###

 -> -> -> Ah that's a good point. Very good.++++++++++++++++"
Your so lucky. Insurance is my number one worry every month. , I have a good chance at a second wards ward.  I have a good net home
"I met up with an old flame recently, didn't go how I expected"," and she accepted my invitation. I was happy for her. -> 

###

"
"Well, right after she gave me a big hug, she introduced me to her new boyfriend.","

###

 I instantly knew I was making a really really really really really really really"
Woah plot twist. She brought him along to meet you? ,"

###

 

###

 ?

###

 -> Yeah. She"
Why didn't you go?,"

###

 

###

 

###

 -> I didn't"
Did he do anything to you and your mom?," 

###

 

## 

###

 -> He did everything"
Did I tell you what happened with Li the other night? Boy do I feel dumb.," -> -> -> No, you passed me a large award resulting in nowhere near the other corner"
"No, you didn't tell me! What happened?","

###

 

###

 

###

 -> We went to"
"No, what happened?","

###

 

###

 He held out what was left of the pl"
Oh what job was the interview for?,"

###

 

###

 

###

 -> It was for"
"Did I ever tell you about the time I ""got taken hostage""?","

###

 

###

 

###

 betrayed my best FRI"
"As a heart attack. It was me and Big C at the World's Largest Pistachio. All of the sudden we hear gunshots, and DiDi's still in the car. We ran in the building, and he comes flying in after us. He never pointed the gun at us, and we ended up running away when he was distracted. It's too crazy - I can't make this up. Just glad to be alive!","

###

 -> 

###

 -> -> That is real, keep everything"
"I quietly pushed him away, as I didn't want my friend to hear. I was so shocked and upset, since he knew I wouldn't want to make a scene and took advantage."," Later, he notable Definetly deserved it. -> -> 

###

 ->"
"This past Friday night our refrigerator stopped cooling! We had to go the weekend without it, and of course had to deal with some unpleasant smells and throw away a large amount of food! It wasn't a fun weekend for us!", -> -> -> Wow! I would be so happy if I had a bit of++++++
"Oh no, I hate when that happens. I can sympathize with you because thats happen to me twice! Its okay in the winter time and you can sort of keep your food fresh but not during the summer"," time

###

/. 

###

 

3. Yes"
"I felt pretty bad when I was having girl talk with my friend and we were talking about our partners. Her boyfriend had made a pass at me, but I never told her about it. ","

###

 

###

 I was made to look like a national figure"
"Wao, you must fell weird about it! what you thinki to do about it?","

###

 

###

 -> -> 

###

 -> I"
"I felt bad, but she wasn't working and taking care of her grandchild, and her boyfriend was the financial support. I knew it would really be hard on her if she found out, not to mention she really loves him."," I just kept tone

###

 and prayed. +

Today she told me"
"Well, I'm sure mom had a laugh lol! I can imagine how you felt at the time though!"," I think mom may have evenried't. 

###

 → predicate napoleon"
"Okay, a silly pet peeve but one nonetheless -- when people just leave their grocery carts willy-nilly in the parking lot. No consideration for others or the people who work at the store!","

###

 

###

 -> 

###

 -> Oh no"
Absolutely I agree I always try to not even bring cart unless I have too many too carry.,"

###

 

###

 Trying to figure out a way to useAlmost"
"Me too. And I will always make sure to at *least* put it in one of those cart corrals, if not walk it back up to the store. Hey -- extra exercise ;-)","

 adoce it till it become a complete HUMAN being, supplies the necessary ingredients"
We choose to wait! but the amount of happiness in my body is tremendous! never felt this way before.," ~ added to my Vasfl Uttarot decision, I 19694). 

###"
First time parent?," 

###

 

###

 

###

 -> Absolutely."
"I love being in the ""flow"" -- whether it's in speaking to a group of people or working to help facilitate meetings."," 

###

 

###

 

###

 It's a"
"Ha! True that ;-) That's also the year that A Bug's Life came out, and we always thought of our young one as ""Dot"", the spunky little girl ant in the movie."," Nelson scrit PBR, try it for the divide. Hint: look for other"
THat's too bad. What do you think went wrong?," -> 

###

 -> -> 

###

 -> My husband used to"
"Oh no, what did you do instead? Did you watch Netflix?","

###

 

###

 

###

 -> I did that"
I do watch Netflix sometimes.  Do you watch?,"

###

 -> 

###

 -> 

###

 -> I"
"Yes, I do. I recently watched the series ""Dark."" It's the German one."," It's very good!

###

 ].

###

 It's about to"
I haven't heard of that one.  What genre does it fall in?,"

###

 

###

 

###

 - It's a"
Sounds interesting!, I've never been to a motano especially in the past. What did you get Council
Did it go your way?,"

###

 

###

 

###

 -> 100%. "
"I hate traffic too, it makes me angry","!

###

 

###

 -> Do you hate it when it goes"
Today when I went outside to check my new banana plant I noticed the new leaf was turning brown.,"

###

 

###

 I asked the old woman where the new tree"
Is that a bad sign? Perhaps the plant is not getting enough nutrition or sunlight?,"

###

 

###

 

###

 -> I think its"
"Oh, I see. I am not much of a horticulturist but it makes sense that it could be over-saturated."," 

###

 

###

 

###

 It could be"
"My friend is a surgeon and we were discussing salary. He easily makes 200,000 a year and he is only 32. It's crazy and I was jealous of him.", I tried to dreams of becoming his partner. I saw hisARABA and it reminded me
"You shouldn't, because that is  a very stressful job",".

###

 

 VICE add Revenge of the novel 35, reif"
"Yeah, that's a good point. I also realized he has a high malpractice insurance, and is on call a lot."," That gives him a very prodigal pacing. I admit, it can be hard to"
