prompt,completion
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together"," -> I'm sorry, I'm sure it will work out for the best buddy.
"
sorry to hear! do you have any idea about the break up? did you think about it ?," -> I was pretty upset. That's why I begged her to forgive me

But"
"Yes we decided together with our minds, and know i come home and feel so distant from the world", round me. -> Someday you will feel like you can talk to them without feeling like
I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors, that what diuretics were or how much potassium they needed. -> Baby's are so
That is nice of you. What did you do?," -> Sitting at work and eating breakfast together while working, it was so nice of them to"
I do! I want to be able to protect my son," from violence.  -> Protect him from what is happening to minorities?

I want"
I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident," -> Did you get a time card for the July 4th page?

Good for"
Yes. I do not have a Facebook.," -> Can you come visit us sometime?

.

I have some good food"
"So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer",". -> Okay, sorry about that, but hopefully all that money pays off in the end"
Thats horrible.," Is your dog tucked up in bed? -> Yeah, and it was really scary. I"
my baby is sleeping. it's so peaceful and quiet in this house, where it's at -> That is nice.  Watch a movie and set up a video
"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. ", It means you are valued as a human being! - She instantly puckered her brow
"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?"," -> Haha, yea that's a good idea, I've never been there.
"
i was thinking about it! I wanted to join a group for local moms," but I wont be one... But, that's cool! Still though it is cool that"
ok,"lar wunderbar, ich werde da etwas abkühlen"
"I'm a big believer in listening to your gut. Sometimes I might wonder where my intuition is leading me, but it always seems to be spot on."," -> I think so too, it could come from the knowledge that where your nose is is"
"It is a ""knowing"" -- and a flowing! When something is right, it just feels easier to go with it -- like you're being led, even if you might not fully know to where.", I thought that sounds very uncommon with dance... My teacher loves to teach and loves hearing kids
"Awww, That sucks man. Hopefully they don't say mean things to you about being lonely.", It's not your fault. -> It is my fault!  I make myself late every
The other day I had a deep craving for Chik-Fil-A., But I was fairly sure I would get it. That didn't happen and I was sad
"I understand that one,they are my favorite place to eat",", so I miss them. -> Yes, I hate sitting alone at their close to never"
Mine too. So I drive there and pull in the parking lot and it's completely empty. I then realized it was Sunday., -> That's no good!  I hope you brought the wrong dog over to get a
"I can still look back with shame at the way I treated a girl in sixth grade. I wasn't as bad as others, but that doesn't make me feel any better."," -> What did she say?

Hard feelings?

What is your problem?"
Where you not secure in your self?," -> I am secure on my self, that is the problem

As I wrote,"
I feel the same way., I don't know what to think about all this. -> Don't start warming up to
"She was around 11, so she took it very hard. I went ahead and let her stay home from school, as I knew she wouldn't do well that day.","Luckily I wasn't too old or anything, and she learned the student loan system pretty quickly"
Cool.  Somethings never change.  What did you reflect upon?, -> I used to be more predisposed to meeting people I met.  This has
"I felt most lonely when we first moved overseas, my husband then had to travel out of *that* country for business -- AND I had a new baby!"," lol.... That's an extra stress, no doubt about it! -> That's so sweet"
Congratulations! Where did you travel from and where did you end up?, -> From Manchester to Austin! And I'm also going to Tennessee on the way. It
From Santa Fe to Hong Kong -- ultimately a fantastic adventure. And I ended up with a wonderful group of friends. Expats bond quickly!," -> thats awesome, i have never had anExcited to go visit Hong Kong. in"
One of the saddest things to me is when people underestimate what they can do and/or are capable of., -> That is so true.  People can be so amazing when it comes to what they
"That's perfectly natural. You sound like the kind of person, though, that quickly regained their bearings. Disappointments like that usually come with some *good* lessons."," ->😘 36orcccc (@tonytrefor) 8 years old

"
"There was a back neighbor that called my 10 year old son a ugly name one time, simply because he entered her yard slightly when he rode around the corner.!"," -> Whoa, that's harsh. What did you do about it if you didn't"
What is a back neighbor? And that is crazy!, -> You can only talk to whomever or whatever people want to talk to you about.
"Yes, she lived several house back and she didn't know me, until after she did that! She knew me then, but after I talked to her, she apologized to both of us. ","

 She really cares about us and really wants us to be happy. -> That is"
I really try but it's hard to replicate that day for sure.," -> I am sure you can do it

But, it is not easy.
"
I bet it's tough. A regular income is nice but the freedom you get from working for yourselfs is better. , -> It's a complicated million dollar job. It's always sad to see those jobs go
"We found a pretty good balance in that I have a part-time job that I *love* -- and that comes with benefits like insurance. That's a big worry addressed, right there."," -> Ah, well good stuff.  What kind of benefits are you getting, mind?"
Your so lucky. Insurance is my number one worry every month. ," -> Oh that's a good concern!

So glad you have a great insurance emergency"
"I met up with an old flame recently, didn't go how I expected",. -> That is a bummer - how did you go??? Have you ever met before
Woah plot twist. She brought him along to meet you? , -> yeah that's right! she was glad i was at the store that day and saw
Why didn't you go?,"-> i do not enjoy the wilderness

i know there will be hardships but will i"
Did I tell you what happened with the concert I was supposed to go to Saturday?," This weekend? -> I did tell you about the concert, I was there speaking, I"
"No, what happened?"," -> They have a new baby and gave my husband snacks, he could not pass them
"
"Well first of all, it wasn't just any concert - it was Jay-Z and Beyonce! AND IT GOT RAINED OUT! ", XD AND she was able to go on stage and dress up like a cow! and I
