prompt,completion
Did you suffer any injuries?,"

###

 

###

 

###

 -> 

"
No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.," He had saved the building

###

 and thus gained a awareness of the building."
Why did you feel guilty? People really shouldn't drive drunk.,"

###

 

###

 

###

 

###"
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together",.  I still vividly associate myself with this one.   he is a sweet drunk
sorry to hear! do you have any idea about the break up? did you think about it ?,"

###

 couldn't youguyen? !!

###

 

###"
"Yes we decided together with our minds, and know i come home and feel so distant from the world",".  -> 

###

 

###

 

###

"
I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors, had to make the baby start off with the only diagnosis: committed. it was a year
"Ugh, those articles always get me too... :( What was wrong with her? ","

###

 

###

 

###

 

###"
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying"," for her to pull her unit out of the way.

###

 

"
That is nice of you. What did you do?," Verbal programming with software tools and tools, as you wish. 

###

"
i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods! ,"

###

 

###

 

###

 

###"
Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.,"

###

 

###

 

###

 

###"
"So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer","!

###

 

###

 

###

 

"
"Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!"," 

###

 

###

 

###

 

"
Yes I do not like walmart.,"  I find them pretty unusual. 

###

 

###

 "
my baby is sleeping. it's so peaceful and quiet in this house,". 

###

 

###

 

###

 
"
"hi, i feel so lonely sometimes because all my friends live in a different country",", where a pair of perfect sunny Italy, where a thousand wonderful years have spent?
"
"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?","

— Make Memories Make My World, Make Memories Make Something Old as Sure as possible"
i was thinking about it! I wanted to join a group for local moms," to talk about all things available in the store and make a baby fast.

###"
"I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.","  ->  -> 

###  ->  -> That is so sweet of him"
oh man. i'm all about discipline! I don't like spoiled bratty kids, but I do like the leader who lets her move toward her partner lets her move toward her
"Me either! I have two of my own children, and I would have never let them get away with that kind of behavior when they were his age. I just don't understand those kind of parents@!", I feel like allowing them to be interested in something they could have forced out of their own
ok," was working an office,,,

###

 from 8 a to Madrid

###"
"I recently spoke with my ex-girlfriend on the phone. The conversation went pretty well, and it reminded me of my past experiences with her.","  I felt very proud.

###

 

###

 

"
I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely," but I give it up easily.
+++++

###

 

###"
"Awww, That sucks man. Hopefully they don't say mean things to you about being lonely.","

###

 

###

 

###

 

###"
Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes,".

###

 

###

 

###

 

"
The other day I had a deep craving for Chik-Fil-A.,"

###

 I right got it for myself.

###

 

"
"I understand that one,they are my favorite place to eat","

###

 , so I took one of my new high feleds and dual Douglas"
Where you not secure in your self?,"

###

 

###

 

###

 

###"
"Well, like a lot of 6th graders I was aware of *not* wanting to be an outcast for any reason. And unfortunately, she was. As an adult of course, my heart squeezes for *all* the kids we were!","

###

 

###

 

###

 

###"
"Unfortunately, she died. I only found out when Facebook first came out, and her brother and I ""friended"" one another.","

###

 

###

 

###

 

###"
I feel the same way., I hope the opportunity to make the right big men at conference sizes is right at the right
"How do you channel the anger? Obviously, it too easily turns into the same kind of negative emotion I'm upset about -- so that can feel hypocritical!","

###

 

###

 

###

 

###"
One morning my mother came to my house to pick my daughter up for school and told me she saw my daughter's cat on the road and he had been hit. I had to tell my daughter about the loss of her beloved pet.," 

###

 

###

 

###

 

"
Oh no that is terrible!  How did your daughter take it?,  She stuck it in her front right posterior the same way she would have tasted it.
"Well, sometimes people are busy and don't have the time to check emails",".

###

 

###

 

###

 

"
